,Surroundings,Inventory,Action,Response,Reward,Reward_Type,Score,Moves,Total_Moves
552,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,pour bird,you're not carrying the songbird,-1.0,,6.5,40,552
553,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,carry bird from tree,the songbird isn't in the tree ,-1.0,,5.5,41,553
554,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,carry bird from nest,the songbird isn't in the bird's nest,-1.0,,4.5,42,554
555,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,pick nest with tree,you can't pick that,-1.0,,3.5,43,555
556,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,enter nest,that would involve quite a contortion,-1.0,,2.5,44,556
557,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,leave ground,you're not carrying the ground,-1.0,,1.5,45,557
558,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,pull tree,you can't move the tree,-1.0,,0.5,46,558
559,up a tree you are about 10 feet above the ground nestled among some large branches the nearest branch above you is above your reach you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest ,go down,forest path,-0.5, - moved around - ,0.0,47,559
560,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary a bird's nest,leave nest,dropped,1.5, new area score ---forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a bird's nest here you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary - moved around - ,1.5,48,560
561,forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path there is a bird's nest here you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary,you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary,read nest,taken how does one read a bird's nest,4.5, inventory score (you are carrying a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary --- you are carrying a bird's nest a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary) new area score ---forest path this is a path winding through a dimly lit forest the path heads north- south here one particularly large tree with some low branches stands at the edge of the path you are carrying a bird's nest a broken jewel-encrusted egg the broken jewel-encrusted egg contains a broken clockwork canary - moved around - ,6.0,49,561
